id,joules,dataset,algorithm,features,exp
329,1.5938679999999998,anon,knn,15f,anon_knn_15f_d
330,1.585872,anon,knn,15f,anon_knn_15f_d
331,1.984186,anon,knn,20f,anon_knn_20f_d
332,2.191278,anon,knn,20f,anon_knn_20f_d
333,2.049738,anon,knn,20f,anon_knn_20f_d
334,0.14154,anon,knn,10f,anon_knn_10f_d
335,0.144164,anon,knn,10f,anon_knn_10f_d
336,0.160156,anon,knn,10f,anon_knn_10f_d
337,0.243774,anon,knn,15f,anon_knn_15f_d
338,0.176147,anon,knn,15f,anon_knn_15f_d
339,0.14874199999999999,anon,knn,15f,anon_knn_15f_d
340,0.27014099999999996,anon,knn,20f,anon_knn_20f_d
341,0.19860799999999998,anon,knn,20f,anon_knn_20f_d
342,0.23510699999999998,anon,knn,20f,anon_knn_20f_d
343,0.5109239999999999,anon,knn,10f,anon_knn_10f_d
344,0.518249,anon,knn,10f,anon_knn_10f_d
345,0.565306,anon,knn,10f,anon_knn_10f_d
346,0.822813,anon,knn,15f,anon_knn_15f_d
347,0.7652559999999999,anon,knn,15f,anon_knn_15f_d
348,0.7650739999999999,anon,knn,15f,anon_knn_15f_d
349,0.87286,anon,knn,20f,anon_knn_20f_d
350,0.9123509999999999,anon,knn,20f,anon_knn_20f_d
351,0.876401,anon,knn,20f,anon_knn_20f_d
352,1.1184669999999999,anon,knn,10f,anon_knn_10f_d
353,1.038877,anon,knn,10f,anon_knn_10f_d
354,1.088681,anon,knn,10f,anon_knn_10f_d
355,1.5545609999999999,anon,knn,15f,anon_knn_15f_d
356,1.8559519999999998,anon,knn,15f,anon_knn_15f_d
357,1.586482,anon,knn,15f,anon_knn_15f_d
358,1.817867,anon,knn,20f,anon_knn_20f_d
359,2.306575,anon,knn,20f,anon_knn_20f_d
360,1.845332,anon,knn,20f,anon_knn_20f_d
361,0.176085,anon,knn,10f,anon_knn_10f_d
362,0.179565,anon,knn,10f,anon_knn_10f_d
363,0.20104899999999998,anon,knn,10f,anon_knn_10f_d
364,0.259276,anon,knn,15f,anon_knn_15f_d
365,0.179748,anon,knn,15f,anon_knn_15f_d
366,0.184997,anon,knn,15f,anon_knn_15f_d
367,0.235168,anon,knn,20f,anon_knn_20f_d
368,0.20477199999999998,anon,knn,20f,anon_knn_20f_d
369,0.212951,anon,knn,20f,anon_knn_20f_d
370,0.357116,anon,knn,10f,anon_knn_10f_d
371,0.407835,anon,knn,10f,anon_knn_10f_d
372,0.38067599999999996,anon,knn,10f,anon_knn_10f_d
373,0.770749,anon,knn,15f,anon_knn_15f_d
374,0.761289,anon,knn,15f,anon_knn_15f_d
375,0.7640359999999999,anon,knn,15f,anon_knn_15f_d
376,0.876402,anon,knn,20f,anon_knn_20f_d
377,0.879637,anon,knn,20f,anon_knn_20f_d
378,0.8868389999999999,anon,knn,20f,anon_knn_20f_d
379,0.648192,orig,knn,10f,orig_knn_10f_d
380,0.646482,orig,knn,10f,orig_knn_10f_d
381,0.648802,orig,knn,10f,orig_knn_10f_d
382,0.8789659999999999,orig,knn,15f,orig_knn_15f_d
383,0.8172579999999999,orig,knn,15f,orig_knn_15f_d
384,0.8860439999999999,orig,knn,15f,orig_knn_15f_d
385,0.978329,orig,knn,20f,orig_knn_20f_d
386,1.258175,orig,knn,20f,orig_knn_20f_d
387,1.050168,orig,knn,20f,orig_knn_20f_d
388,0.200622,orig,knn,10f,orig_knn_10f_d
389,0.154175,orig,knn,10f,orig_knn_10f_d
390,0.142639,orig,knn,10f,orig_knn_10f_d
391,0.177062,orig,knn,15f,orig_knn_15f_d
392,0.174011,orig,knn,15f,orig_knn_15f_d
393,0.177733,orig,knn,15f,orig_knn_15f_d
394,0.23632699999999998,orig,knn,20f,orig_knn_20f_d
395,0.21026499999999998,orig,knn,20f,orig_knn_20f_d
396,0.21087499999999998,orig,knn,20f,orig_knn_20f_d
397,0.341918,orig,knn,10f,orig_knn_10f_d
398,0.349303,orig,knn,10f,orig_knn_10f_d
399,0.333983,orig,knn,10f,orig_knn_10f_d
400,0.46740699999999996,orig,knn,15f,orig_knn_15f_d
401,0.412047,orig,knn,15f,orig_knn_15f_d
402,0.411193,orig,knn,15f,orig_knn_15f_d
403,0.5399769999999999,orig,knn,20f,orig_knn_20f_d
404,0.471862,orig,knn,20f,orig_knn_20f_d
405,0.529724,orig,knn,20f,orig_knn_20f_d
406,0.586241,orig,knn,10f,orig_knn_10f_d
407,0.590513,orig,knn,10f,orig_knn_10f_d
408,0.5590189999999999,orig,knn,10f,orig_knn_10f_d
409,0.8186019999999999,orig,knn,15f,orig_knn_15f_d
410,0.7593369999999999,orig,knn,15f,orig_knn_15f_d
411,0.803831,orig,knn,15f,orig_knn_15f_d
412,0.996091,orig,knn,20f,orig_knn_20f_d
413,1.025816,orig,knn,20f,orig_knn_20f_d
414,1.058346,orig,knn,20f,orig_knn_20f_d
415,0.153992,orig,knn,10f,orig_knn_10f_d
416,0.12060599999999999,orig,knn,10f,orig_knn_10f_d
417,0.121582,orig,knn,10f,orig_knn_10f_d
418,1.068479,orig,knn,15f,orig_knn_15f_d
419,0.158447,orig,knn,15f,orig_knn_15f_d
420,0.155395,orig,knn,15f,orig_knn_15f_d
421,6.387312,orig,knn,20f,orig_knn_20f_d
422,0.216308,orig,knn,20f,orig_knn_20f_d
423,0.14105099999999998,orig,knn,20f,orig_knn_20f_d
424,0.31732099999999996,orig,knn,10f,orig_knn_10f_d
425,0.27954,orig,knn,10f,orig_knn_10f_d
426,0.333678,orig,knn,10f,orig_knn_10f_d
427,0.40685899999999997,orig,knn,15f,orig_knn_15f_d
428,0.413879,orig,knn,15f,orig_knn_15f_d
429,0.355164,orig,knn,15f,orig_knn_15f_d
430,0.515135,orig,knn,20f,orig_knn_20f_d
431,0.469726,orig,knn,20f,orig_knn_20f_d
432,0.533752,orig,knn,20f,orig_knn_20f_d
433,3.879507,anon,lr,10f,anon_lr_10f_d
434,3.910085,anon,lr,10f,anon_lr_10f_d
435,3.830008,anon,lr,10f,anon_lr_10f_d
436,8.532388,anon,lr,15f,anon_lr_15f_d
437,8.789223,anon,lr,15f,anon_lr_15f_d
438,8.388345,anon,lr,15f,anon_lr_15f_d
439,11.773895,anon,lr,20f,anon_lr_20f_d
440,11.95108,anon,lr,20f,anon_lr_20f_d
441,12.185697999999999,anon,lr,20f,anon_lr_20f_d
442,0.690672,anon,lr,10f,anon_lr_10f_d
443,0.701537,anon,lr,10f,anon_lr_10f_d
444,0.714658,anon,lr,10f,anon_lr_10f_d
445,0.900937,anon,lr,15f,anon_lr_15f_d
446,0.864255,anon,lr,15f,anon_lr_15f_d
447,0.876768,anon,lr,15f,anon_lr_15f_d
448,1.254819,anon,lr,20f,anon_lr_20f_d
449,1.3045,anon,lr,20f,anon_lr_20f_d
450,1.161679,anon,lr,20f,anon_lr_20f_d
451,3.497244,anon,lr,10f,anon_lr_10f_d
452,3.5012119999999998,anon,lr,10f,anon_lr_10f_d
453,3.549063,anon,lr,10f,anon_lr_10f_d
454,4.760668,anon,lr,15f,anon_lr_15f_d
455,4.902209,anon,lr,15f,anon_lr_15f_d
456,4.591114,anon,lr,15f,anon_lr_15f_d
457,5.809557,anon,lr,20f,anon_lr_20f_d
458,5.7811129999999995,anon,lr,20f,anon_lr_20f_d
459,5.805649,anon,lr,20f,anon_lr_20f_d
460,4.624743,anon,lr,10f,anon_lr_10f_d
461,4.525319,anon,lr,10f,anon_lr_10f_d
462,4.293934999999999,anon,lr,10f,anon_lr_10f_d
463,8.694253,anon,lr,15f,anon_lr_15f_d
464,8.909035,anon,lr,15f,anon_lr_15f_d
465,8.528177,anon,lr,15f,anon_lr_15f_d
466,12.816127999999999,anon,lr,20f,anon_lr_20f_d
467,12.65878,anon,lr,20f,anon_lr_20f_d
468,12.015533,anon,lr,20f,anon_lr_20f_d
469,0.825743,anon,lr,10f,anon_lr_10f_d
470,0.808653,anon,lr,10f,anon_lr_10f_d
471,0.7938219999999999,anon,lr,10f,anon_lr_10f_d
472,0.905515,anon,lr,15f,anon_lr_15f_d
473,0.83563,anon,lr,15f,anon_lr_15f_d
474,0.849362,anon,lr,15f,anon_lr_15f_d
475,1.092832,anon,lr,20f,anon_lr_20f_d
476,1.0759859999999999,anon,lr,20f,anon_lr_20f_d
477,1.057675,anon,lr,20f,anon_lr_20f_d
478,1.727596,anon,lr,10f,anon_lr_10f_d
479,1.562863,anon,lr,10f,anon_lr_10f_d
480,1.7698319999999998,anon,lr,10f,anon_lr_10f_d
481,4.317372,anon,lr,15f,anon_lr_15f_d
482,4.256641,anon,lr,15f,anon_lr_15f_d
483,4.226185,anon,lr,15f,anon_lr_15f_d
484,5.908920999999999,anon,lr,20f,anon_lr_20f_d
485,5.858445,anon,lr,20f,anon_lr_20f_d
486,5.949204,anon,lr,20f,anon_lr_20f_d
487,8.152689,orig,lr,10f,orig_lr_10f_d
488,8.017558,orig,lr,10f,orig_lr_10f_d
489,7.821695999999999,orig,lr,10f,orig_lr_10f_d
490,33.616796,orig,lr,15f,orig_lr_15f_d
491,33.218909,orig,lr,15f,orig_lr_15f_d
492,33.736669,orig,lr,15f,orig_lr_15f_d
493,39.22573,orig,lr,20f,orig_lr_20f_d
494,39.896871,orig,lr,20f,orig_lr_20f_d
495,38.591149,orig,lr,20f,orig_lr_20f_d
496,1.762996,orig,lr,10f,orig_lr_10f_d
497,1.74963,orig,lr,10f,orig_lr_10f_d
498,1.8719439999999998,orig,lr,10f,orig_lr_10f_d
