id,joules,dataset,algorithm,features,exp
204,501.925168,orig,rf,15f,orig_rf_15f_d
205,517.655169,orig,rf,20f,orig_rf_20f_d
206,516.800983,orig,rf,20f,orig_rf_20f_d
207,521.946052,orig,rf,20f,orig_rf_20f_d
208,869.206881,orig,rf,10f,orig_rf_10f_d
209,873.761801,orig,rf,10f,orig_rf_10f_d
210,874.5064289999999,orig,rf,10f,orig_rf_10f_d
211,1335.427734,orig,rf,15f,orig_rf_15f_d
212,1327.523579,orig,rf,15f,orig_rf_15f_d
213,1327.019796,orig,rf,15f,orig_rf_15f_d
214,1383.8553439999998,orig,rf,20f,orig_rf_20f_d
215,1399.12972,orig,rf,20f,orig_rf_20f_d
216,1401.013504,orig,rf,20f,orig_rf_20f_d
217,648.4014169999999,anon,rf,10f,anon_rf_10f_s
218,648.625536,anon,rf,10f,anon_rf_10f_s
219,657.3781389999999,anon,rf,10f,anon_rf_10f_s
220,839.409899,anon,rf,15f,anon_rf_15f_s
221,819.203225,anon,rf,15f,anon_rf_15f_s
222,815.8874989999999,anon,rf,15f,anon_rf_15f_s
223,963.893102,anon,rf,20f,anon_rf_20f_s
224,955.48791,anon,rf,20f,anon_rf_20f_s
225,951.887761,anon,rf,20f,anon_rf_20f_s
226,399.321426,anon,rf,10f,anon_rf_10f_s
227,391.203955,anon,rf,10f,anon_rf_10f_s
228,394.005705,anon,rf,10f,anon_rf_10f_s
229,404.244266,anon,rf,15f,anon_rf_15f_s
230,402.034676,anon,rf,15f,anon_rf_15f_s
231,399.094499,anon,rf,15f,anon_rf_15f_s
232,438.119484,anon,rf,20f,anon_rf_20f_s
233,436.892375,anon,rf,20f,anon_rf_20f_s
234,433.580616,anon,rf,20f,anon_rf_20f_s
235,481.646228,anon,rf,10f,anon_rf_10f_s
236,482.114549,anon,rf,10f,anon_rf_10f_s
237,485.512185,anon,rf,10f,anon_rf_10f_s
238,558.93021,anon,rf,15f,anon_rf_15f_s
239,557.621009,anon,rf,15f,anon_rf_15f_s
240,554.715682,anon,rf,15f,anon_rf_15f_s
241,608.679838,anon,rf,20f,anon_rf_20f_s
242,596.748106,anon,rf,20f,anon_rf_20f_s
243,591.9360459999999,anon,rf,20f,anon_rf_20f_s
244,635.8527429999999,anon,rf,10f,anon_rf_10f_s
245,637.150529,anon,rf,10f,anon_rf_10f_s
246,639.885813,anon,rf,10f,anon_rf_10f_s
247,832.444219,anon,rf,15f,anon_rf_15f_s
248,818.579203,anon,rf,15f,anon_rf_15f_s
249,810.678467,anon,rf,15f,anon_rf_15f_s
250,942.371551,anon,rf,20f,anon_rf_20f_s
251,931.115292,anon,rf,20f,anon_rf_20f_s
252,922.46291,anon,rf,20f,anon_rf_20f_s
253,383.996575,anon,rf,10f,anon_rf_10f_s
254,384.123163,anon,rf,10f,anon_rf_10f_s
255,389.176066,anon,rf,10f,anon_rf_10f_s
256,428.85254,anon,rf,15f,anon_rf_15f_s
257,429.203063,anon,rf,15f,anon_rf_15f_s
258,433.224477,anon,rf,15f,anon_rf_15f_s
259,430.186766,anon,rf,20f,anon_rf_20f_s
260,426.899175,anon,rf,20f,anon_rf_20f_s
261,424.811412,anon,rf,20f,anon_rf_20f_s
262,508.381756,anon,rf,10f,anon_rf_10f_s
263,506.039904,anon,rf,10f,anon_rf_10f_s
264,516.437399,anon,rf,10f,anon_rf_10f_s
265,541.420184,anon,rf,15f,anon_rf_15f_s
266,538.803492,anon,rf,15f,anon_rf_15f_s
267,542.03151,anon,rf,15f,anon_rf_15f_s
268,606.853183,anon,rf,20f,anon_rf_20f_s
269,599.12847,anon,rf,20f,anon_rf_20f_s
270,596.353088,anon,rf,20f,anon_rf_20f_s
271,844.167151,orig,rf,10f,orig_rf_10f_s
272,838.941822,orig,rf,10f,orig_rf_10f_s
273,847.9649929999999,orig,rf,10f,orig_rf_10f_s
274,932.154535,orig,rf,15f,orig_rf_15f_s
275,931.289181,orig,rf,15f,orig_rf_15f_s
276,910.534473,orig,rf,15f,orig_rf_15f_s
277,1118.468878,orig,rf,20f,orig_rf_20f_s
278,1104.838726,orig,rf,20f,orig_rf_20f_s
279,1089.70351,orig,rf,20f,orig_rf_20f_s
280,427.197941,orig,rf,10f,orig_rf_10f_s
281,420.386986,orig,rf,10f,orig_rf_10f_s
282,429.421385,orig,rf,10f,orig_rf_10f_s
283,452.460573,orig,rf,15f,orig_rf_15f_s
284,448.99647,orig,rf,15f,orig_rf_15f_s
285,449.06959,orig,rf,15f,orig_rf_15f_s
286,500.759094,orig,rf,20f,orig_rf_20f_s
287,500.255189,orig,rf,20f,orig_rf_20f_s
288,497.688607,orig,rf,20f,orig_rf_20f_s
289,655.9964279999999,orig,rf,10f,orig_rf_10f_s
290,638.902478,orig,rf,10f,orig_rf_10f_s
291,643.8354499999999,orig,rf,10f,orig_rf_10f_s
292,683.10311,orig,rf,15f,orig_rf_15f_s
293,687.894968,orig,rf,15f,orig_rf_15f_s
294,675.095867,orig,rf,15f,orig_rf_15f_s
295,768.649642,orig,rf,20f,orig_rf_20f_s
296,755.1025599999999,orig,rf,20f,orig_rf_20f_s
297,755.772297,orig,rf,20f,orig_rf_20f_s
298,792.463364,orig,rf,10f,orig_rf_10f_s
299,792.354967,orig,rf,10f,orig_rf_10f_s
300,789.9709389999999,orig,rf,10f,orig_rf_10f_s
301,927.44422,orig,rf,15f,orig_rf_15f_s
302,917.572235,orig,rf,15f,orig_rf_15f_s
303,900.2763199999999,orig,rf,15f,orig_rf_15f_s
304,1046.759772,orig,rf,20f,orig_rf_20f_s
305,1035.465916,orig,rf,20f,orig_rf_20f_s
306,1034.923741,orig,rf,20f,orig_rf_20f_s
307,410.751878,orig,rf,10f,orig_rf_10f_s
308,408.842825,orig,rf,10f,orig_rf_10f_s
309,411.367233,orig,rf,10f,orig_rf_10f_s
310,478.160153,orig,rf,15f,orig_rf_15f_s
311,476.785339,orig,rf,15f,orig_rf_15f_s
312,474.700444,orig,rf,15f,orig_rf_15f_s
313,466.951136,orig,rf,20f,orig_rf_20f_s
314,466.051603,orig,rf,20f,orig_rf_20f_s
315,463.628451,orig,rf,20f,orig_rf_20f_s
316,614.109024,orig,rf,10f,orig_rf_10f_s
317,622.9973679999999,orig,rf,10f,orig_rf_10f_s
318,627.082317,orig,rf,10f,orig_rf_10f_s
319,690.469241,orig,rf,15f,orig_rf_15f_s
320,692.370237,orig,rf,15f,orig_rf_15f_s
321,685.260636,orig,rf,15f,orig_rf_15f_s
322,771.3480629999999,orig,rf,20f,orig_rf_20f_s
323,769.42613,orig,rf,20f,orig_rf_20f_s
324,762.665711,orig,rf,20f,orig_rf_20f_s
